,open,percent300Avg,growth5,growth10,growth20,growth40,growth80,growth160,growth300,num,x3,x4,x5,slope5,slope10,slope20,slope40,slope80,slope160,movAvgDiff20,movAvgDiff40,movAvgDiff80,movAvgDiff160,var20,var40,var80,var160,max5D,max10D,max25D,max50,max100,min5D,min10D,min25D,min50,min100,sp_slope5,sp_slope10,sp_slope20,sp_slope40,sp_slope80,sp_slope160,sp_movAvgDiff20,sp_movAvgDiff40,sp_movAvgDiff80,sp_movAvgDiff160,sp_var20,sp_var40,sp_var80,sp_var160,dow_slope5,dow_slope10,dow_slope20,dow_slope40,dow_slope80,dow_slope160,dow_movAvgDiff20,dow_movAvgDiff40,dow_movAvgDiff80,dow_movAvgDiff160,dow_var20,dow_var40,dow_var80,dow_var160,5DayActual,10DayActual,50DayActual,k,300MovAvg,max50D,min50D
2012-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.4084,-4.81896363636,-0.584704511278,-0.30259608349,1.08127783638,0.932793002534,0.953821461695,0.949298491655,0.944014148819,0.972943968123,855.796337895,526.013683077,501.400753165,3003.47001068,-51.0884,-45.1736424242,-0.581839097745,-1.44064268293,6.43213139797,8.56552488995,0.959649476696,0.958896482463,0.955185864838,0.974050386918,65117.9137608,38673.6918203,30076.8553595,136982.934143,,,,,,,
2012-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.3358,-5.34410909091,-1.55721541353,-0.493130581613,0.992135840073,0.95661152227,0.957347064078,0.946525851348,0.939024602353,0.965188567339,1158.40406211,879.537285897,735.827163038,2844.50795849,-63.9276,-48.2757878788,-10.2082609023,-2.42057964353,5.79550360408,8.70836754695,0.962833437557,0.955871778261,0.951051386225,0.96776616001,87792.7259208,59420.6944369,43628.3947435,129734.920569,,,,,,,
2012-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.326,-5.42543636364,-1.88277706767,-0.560792026266,0.960608951594,0.963749711506,0.975612468157,0.96232457149,0.954281028146,0.979942476061,1068.32348711,949.355845897,786.361314937,2762.85952915,-48.7484,-47.8155818182,-13.4109703008,-2.79709910882,5.57235748213,8.74899209384,0.976374256733,0.966961895533,0.96196547922,0.978159053538,82550.4645958,63751.4493615,46754.1397833,125853.537616,,,,,,,
2012-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5204,-5.40340606061,-2.20234736842,-0.629375820825,0.928638905005,0.970473836502,0.978691109775,0.963534330789,0.954732770024,0.979416791654,956.233413421,1004.07859942,835.941425807,2659.24378386,-28.2078,-46.473769697,-16.5637684211,-3.19221986398,5.34728692716,8.78598488186,0.979000678522,0.967569972393,0.96211189746,0.977533967008,74830.9989629,68293.3172892,49856.2964239,120551.58687,,,,,,,
2012-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7208,-5.20128484848,-2.50721578947,-0.697803119137,0.896272994315,0.976783429406,0.98336060085,0.966730163804,0.957133071741,0.980957918366,862.286425263,1045.76455667,879.656383228,2560.36667734,-10.0376,-44.0027636364,-19.5994977444,-3.6041940666,5.12012515676,8.81930401712,0.980985687259,0.967751756716,0.961821468303,0.976485864157,67598.2490832,72736.8481426,53004.4966187,115783.985916,,,,,,,
2012-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7596,-4.83184242424,-2.79012330827,-0.764902040338,0.863593546355,0.982677157616,0.987522233661,0.969449151096,0.959022571131,0.982034492325,736.56322,1076.7957259,917.916459747,2459.99897885,6.2346,-40.412569697,-22.420412782,-4.0253130863,4.8917827473,8.84897912132,0.986645638367,0.971617005922,0.96520871661,0.979205206126,56923.4224053,76100.5428664,55608.7277646,110846.60482,,,,,,,
2012-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.581,-2.00006060606,-3.50942330827,-1.00269788931,0.730530855895,1.00236759511,0.993946564727,0.972228390742,0.958912064859,0.978801705407,388.62624079,1186.81500968,1053.16969922,2076.3172127,8.2552,-18.8939090909,-30.0555860902,-5.63762631332,3.97306432109,8.93303378263,0.988906548207,0.969242436036,0.960621176751,0.972115865109,26216.8998853,87444.6275046,65526.6755116,92174.544161,,,,,,,
2012-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9046,-1.04688484848,-3.57684511278,-1.05448609287,0.696598735642,1.00636700457,1.00413647657,0.982159555831,0.968196693204,0.987566125202,347.944246316,1191.26382333,1076.53834682,2009.97886566,2.474,-12.1545272727,-30.9947789474,-6.02499739681,3.73992246249,8.94562460054,0.999769589997,0.979641628442,0.970508150845,0.981583319997,23104.6428832,88897.4855461,67358.3492838,89385.9788206,,,,,,,
2012-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,-0.226496969697,-3.60208609023,-1.10418698405,0.662120428973,1.00998209946,0.992123247564,0.969904192517,0.955490336511,0.973827626989,296.007752632,1222.73412814,1124.27253158,1961.92594393,-2.8124,-6.46000606061,-31.5578744361,-6.4131146576,3.5029755831,8.95468888149,0.988404504759,0.96785851458,0.958275796583,0.968622691857,20244.8452632,92962.6262592,71082.3933443,87774.6613099,,,,,,,
2012-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2672,0.371563636364,-3.58547857143,-1.1518761257,0.627110123652,1.01320610552,0.991497256459,0.96872590656,0.953685509376,0.971188069958,236.692864211,1255.69811154,1176.07240176,1915.10765258,-11.1334,-2.40973333333,-31.736781203,-6.80441859756,3.26233707806,8.96018398763,0.988396103274,0.967157053986,0.957030622109,0.966735297987,16702.0068345,97119.8806818,75050.1951007,86277.9288012,,,,,,,
