Date, Open, High, Low, Close
11/29/16, 2200.76, 2210.46, 2198.15, 2204.66
11/28/16, 2210.21, 2211.14, 2200.36, 2201.72
11/25/16, 2206.27, 2213.35, 2206.27, 2213.35
11/23/16, 2198.55, 2204.72, 2194.51, 2204.72
11/22/16, 2201.56, 2204.80, 2194.51, 2202.94
11/21/16, 2186.43, 2198.70, 2186.43, 2198.18
11/18/16, 2186.85, 2189.89, 2180.38, 2181.90
11/17/16, 2178.61, 2188.06, 2176.65, 2187.12
11/16/16, 2177.53, 2179.22, 2172.20, 2176.94
11/15/16, 2168.29, 2180.84, 2166.38, 2180.39
11/14/16, 2165.64, 2171.36, 2156.08, 2164.20
11/11/16, 2162.71, 2165.92, 2152.49, 2164.45
11/10/16, 2167.49, 2182.30, 2151.17, 2167.48
11/09/16, 2131.56, 2170.10, 2125.35, 2163.26
11/08/16, 2129.92, 2146.87, 2123.56, 2139.56
11/07/16, 2100.59, 2132.00, 2100.59, 2131.52
11/04/16, 2083.79, 2099.07, 2083.79, 2085.18
11/03/16, 2098.80, 2102.56, 2085.23, 2088.66
11/02/16, 2109.43, 2111.76, 2094.00, 2097.94
11/01/16, 2128.68, 2131.45, 2097.85, 2111.72
10/31/16, 2129.78, 2133.25, 2125.53, 2126.15
10/28/16, 2132.23, 2140.72, 2119.36, 2126.41
10/27/16, 2144.06, 2147.13, 2132.52, 2133.04
10/26/16, 2136.97, 2145.73, 2131.59, 2139.43
10/25/16, 2149.72, 2151.44, 2141.93, 2143.16
10/24/16, 2148.50, 2154.79, 2146.91, 2151.33
10/21/16, 2139.43, 2142.63, 2130.09, 2141.16
10/20/16, 2142.51, 2147.18, 2133.44, 2141.34
10/19/16, 2140.81, 2148.44, 2138.15, 2144.29
10/18/16, 2138.31, 2144.38, 2135.49, 2139.60
10/17/16, 2132.95, 2135.61, 2124.43, 2126.50
10/14/16, 2139.68, 2149.19, 2132.98, 2132.98
10/13/16, 2130.26, 2138.19, 2114.72, 2132.55
10/12/16, 2137.67, 2145.36, 2132.77, 2139.18
10/11/16, 2161.35, 2161.56, 2128.84, 2136.73
10/10/16, 2160.39, 2169.60, 2160.39, 2163.66
10/07/16, 2164.19, 2165.86, 2144.85, 2153.74
